B1,B2,C1,C2,J12,J16,K,label,Scored Labels,Scored Probabilities
False,False,True,False,False,False,-0.529257652191596,True,True,0.947647588444482
True,False,False,True,False,True,-0.209362494640557,True,False,0.20513555885282
False,True,True,False,True,False,-0.529257652191596,False,False,0.301255068849449
True,False,True,False,False,True,-0.529257652191596,True,True,0.82907490334579
True,False,False,True,False,True,-0.209362494640557,False,False,0.20513555885282
False,True,True,False,False,True,-0.529257652191596,False,False,0.376562311907303
False,False,True,False,True,False,-0.529257652191596,True,True,0.621889555822994
False,True,True,False,False,False,-0.529257652191596,True,True,0.876196764404983
False,False,False,True,False,True,3.30948423842088,False,False,0.223299077564738
False,True,True,False,False,True,-0.529257652191596,False,False,0.376562311907303
False,True,True,False,False,True,-0.529257652191596,True,False,0.376562311907303
True,False,True,False,False,True,-0.529257652191596,False,True,0.82907490334579
False,True,True,False,True,False,-0.529257652191596,False,False,0.301255068849449
False,False,True,False,False,False,-0.529257652191596,True,True,0.947647588444482
True,False,False,True,True,False,0.430427820461522,False,False,0.27627517650629
False,False,True,False,True,False,-0.529257652191596,True,True,0.621889555822994
True,False,False,True,False,False,0.750322978012561,False,False,0.27629609265469
True,False,True,False,False,True,-0.529257652191596,True,True,0.82907490334579
False,False,False,True,False,True,0.110532662910483,True,False,0.423254404448839
False,True,True,False,False,True,-0.529257652191596,True,False,0.376562311907303
True,False,True,False,False,False,-0.529257652191596,False,True,0.84964410880926
False,False,True,False,False,True,-0.529257652191596,True,True,0.621245735978492
False,True,True,False,True,False,-0.529257652191596,False,False,0.301255068849449
True,False,False,True,True,False,0.110532662910483,False,False,0.12279108068835
False,False,True,False,False,False,-0.529257652191596,True,True,0.947647588444482
False,True,True,False,False,True,-0.529257652191596,False,False,0.376562311907303
False,False,True,False,False,False,-0.529257652191596,True,True,0.947647588444482
False,False,False,True,True,False,0.110532662910483,False,False,0.445325785256005
False,True,True,False,True,False,-0.529257652191596,False,False,0.301255068849449
True,False,True,False,False,True,-0.529257652191596,True,True,0.82907490334579
False,False,False,True,True,False,-0.209362494640557,True,False,0.484417252969687
False,False,False,True,True,False,0.110532662910483,False,False,0.445325785256005
False,False,False,True,True,False,2.6696939233188,False,False,0.175108400891412
False,True,True,False,False,True,-0.529257652191596,True,False,0.376562311907303
True,False,True,False,False,False,-0.529257652191596,True,True,0.84964410880926
True,False,True,False,False,True,-0.529257652191596,True,True,0.82907490334579
True,False,True,False,False,True,-0.529257652191596,True,True,0.82907490334579
False,True,True,False,False,True,-0.529257652191596,False,False,0.376562311907303
False,False,False,True,True,False,0.750322978012561,True,False,0.407044705527365
False,True,True,False,False,True,-0.529257652191596,False,False,0.376562311907303
False,True,True,False,False,True,-0.529257652191596,False,False,0.376562311907303
True,False,False,False,True,False,-0.209362494640557,False,False,0.274486451048951
False,True,True,False,True,False,-0.529257652191596,True,False,0.301255068849449
True,False,True,False,False,False,-0.529257652191596,True,True,0.84964410880926
True,False,True,False,False,True,-0.529257652191596,True,True,0.82907490334579
True,False,True,False,True,False,-0.529257652191596,False,True,0.802177084972834
False,False,False,True,False,False,-0.209362494640557,True,True,0.746257118260989
False,True,True,False,False,True,-0.529257652191596,True,False,0.376562311907303
True,False,False,True,False,False,0.430427820461522,False,False,0.338021225122077
False,True,True,False,False,True,-0.529257652191596,False,False,0.376562311907303
False,True,True,False,True,False,-0.529257652191596,False,False,0.301255068849449
True,False,False,True,True,False,0.430427820461522,False,False,0.27627517650629
False,True,True,False,False,True,-0.529257652191596,False,False,0.376562311907303
False,True,True,False,False,True,-0.529257652191596,False,False,0.376562311907303
False,True,True,False,True,False,-0.529257652191596,False,False,0.301255068849449
False,True,True,False,False,True,-0.529257652191596,True,False,0.376562311907303
False,True,True,False,False,False,-0.529257652191596,True,True,0.876196764404983
False,False,True,False,True,False,-0.529257652191596,False,True,0.621889555822994
False,True,False,True,True,False,-0.209362494640557,True,True,1
True,False,False,True,True,False,0.430427820461522,False,False,0.27627517650629
False,False,False,True,True,False,0.430427820461522,False,False,0.220951738472888
False,True,True,False,True,False,-0.529257652191596,False,False,0.301255068849449
True,False,False,True,False,False,0.110532662910483,False,False,0.114348463222351
False,False,True,False,False,False,-0.529257652191596,False,True,0.947647588444482
False,False,True,False,True,False,-0.529257652191596,True,True,0.621889555822994
False,False,False,True,True,False,1.39011329311464,False,False,0.209189633190114
True,False,False,True,True,False,0.430427820461522,True,False,0.27627517650629
False,True,True,False,True,False,-0.529257652191596,False,False,0.301255068849449
False,False,False,True,False,True,4.26916971107399,False,False,0.197650266188563
False,True,True,False,False,True,-0.529257652191596,False,False,0.376562311907303
False,True,True,False,True,False,-0.529257652191596,False,False,0.301255068849449
False,True,True,False,True,False,-0.529257652191596,False,False,0.301255068849449
False,False,True,False,False,False,-0.529257652191596,True,True,0.947647588444482
False,True,True,False,False,True,-0.529257652191596,False,False,0.376562311907303
False,False,False,True,True,False,2.02990360821672,False,False,0.236408944303369
True,False,False,True,True,False,0.110532662910483,False,False,0.12279108068835
False,False,True,False,False,False,-0.529257652191596,True,True,0.947647588444482
True,False,False,True,True,False,0.430427820461522,False,False,0.27627517650629
False,False,True,False,False,False,-0.529257652191596,True,True,0.947647588444482
False,True,False,True,True,False,-0.209362494640557,True,True,1
False,False,False,True,True,False,3.94927455352295,False,False,0.0972078912046017
False,True,True,False,False,True,-0.529257652191596,False,False,0.376562311907303
False,False,True,False,True,False,-0.529257652191596,False,True,0.621889555822994
False,True,True,False,False,True,-0.529257652191596,False,False,0.376562311907303
False,False,True,False,False,False,-0.529257652191596,True,True,0.947647588444482
False,False,False,True,False,True,0.750322978012561,True,False,0.340143407663239
False,True,True,False,False,True,-0.529257652191596,False,False,0.376562311907303
True,False,True,False,False,False,-0.529257652191596,True,True,0.84964410880926
False,False,False,True,False,True,0.430427820461522,True,False,0.375358731698303
True,False,True,False,False,True,-0.529257652191596,True,True,0.82907490334579
False,False,False,True,True,False,0.430427820461522,False,False,0.220951738472888
True,False,False,True,False,False,0.430427820461522,True,False,0.338021225122077
True,False,False,True,False,False,0.430427820461522,False,False,0.338021225122077
True,False,False,True,True,False,0.430427820461522,False,False,0.27627517650629
False,True,True,False,False,True,-0.529257652191596,True,False,0.376562311907303
False,True,True,False,False,True,-0.529257652191596,False,False,0.376562311907303
False,False,False,True,True,False,0.430427820461522,True,False,0.220951738472888
False,True,False,True,False,True,-0.209362494640557,True,True,1
False,False,False,True,False,True,1.39011329311464,False,False,0.224435504969849
False,True,True,False,False,True,-0.529257652191596,False,False,0.376562311907303
False,False,False,True,True,False,1.0702181355636,False,False,0.382766972249069
True,False,False,True,False,False,0.110532662910483,False,False,0.114348463222351
False,True,True,False,True,False,-0.529257652191596,True,False,0.301255068849449
False,True,False,True,True,False,-0.209362494640557,True,True,1
False,True,True,False,True,False,-0.529257652191596,False,False,0.301255068849449
True,False,True,False,False,False,-0.529257652191596,True,True,0.84964410880926
False,False,False,True,False,False,3.94927455352295,False,False,0
False,False,False,True,False,True,2.02990360821672,False,False,0.280777987667275
True,False,False,True,True,False,0.110532662910483,False,False,0.12279108068835
True,False,True,False,False,True,-0.529257652191596,True,True,0.82907490334579
True,False,True,False,True,False,-0.529257652191596,False,True,0.802177084972834
True,False,False,True,True,False,-0.209362494640557,False,False,0.13645715817482
True,False,True,False,False,False,-0.529257652191596,True,True,0.84964410880926
False,False,False,True,False,True,1.71000845066568,False,False,0.13759995954274
True,False,True,False,False,False,-0.529257652191596,True,True,0.84964410880926
True,False,False,True,True,False,-0.209362494640557,False,False,0.13645715817482
True,False,False,True,True,False,0.110532662910483,False,False,0.12279108068835
False,False,False,True,True,False,0.430427820461522,False,False,0.220951738472888
True,False,False,True,True,False,0.430427820461522,False,False,0.27627517650629
False,False,False,True,False,True,3.30948423842088,False,False,0.223299077564738
True,False,False,True,False,True,-0.209362494640557,False,False,0.20513555885282
False,False,False,True,True,False,0.430427820461522,True,False,0.220951738472888
False,True,True,False,False,False,-0.529257652191596,False,True,0.876196764404983
False,True,True,False,False,True,-0.529257652191596,False,False,0.376562311907303
True,False,False,True,False,True,-0.209362494640557,False,False,0.20513555885282
False,True,True,False,True,False,-0.529257652191596,False,False,0.301255068849449
False,True,True,False,True,False,-0.529257652191596,False,False,0.301255068849449
False,False,True,False,False,False,-0.529257652191596,True,True,0.947647588444482
False,True,True,False,False,True,-0.529257652191596,False,False,0.376562311907303
True,False,False,True,False,False,-0.209362494640557,False,True,0.575422780259716
False,False,False,False,False,False,0.110532662910483,True,True,0.82413227896974
True,False,True,False,False,False,-0.529257652191596,False,True,0.84964410880926
False,True,True,False,False,True,-0.529257652191596,False,False,0.376562311907303
